FIPSCode,StateName,StateNameProper,StateAbbr
02,ALASKA,Alaska,AK
01,ALABAMA,Alabama,AL
05,ARKANSAS,Arkansas,AR
60,AMERICAN SAMOA,American Samoa,AS
04,ARIZONA,Arizona,AZ
06,CALIFORNIA,California,CA
08,COLORADO,Colorado,CO
09,CONNECTICUT,Connecticut,CT
11,DISTRICT OF COLUMBIA,District Of Columbia,DC
10,DELAWARE,Delaware,DE
12,FLORIDA,Florida,FL
13,GEORGIA,Georgia,GA
66,GUAM,Guam,GU
15,HAWAII,Hawaii,HI
19,IOWA,Iowa,IA
16,IDAHO,Idaho,ID
17,ILLINOIS,Illinois,IL
18,INDIANA,Indiana,IN
20,KANSAS,Kansas,KS
21,KENTUCKY,Kentucky,KY
22,LOUISIANA,Louisiana,LA
25,MASSACHUSETTS,Massachusetts,MA
24,MARYLAND,Maryland,MD
23,MAINE,Maine,ME
26,MICHIGAN,Michigan,MI
27,MINNESOTA,Minnesota,MN
29,MISSOURI,Missouri,MO
28,MISSISSIPPI,Mississippi,MS
30,MONTANA,Montana,MT
37,NORTH CAROLINA,North Carolina,NC
38,NORTH DAKOTA,North Dakota,ND
31,NEBRASKA,Nebraska,NE
33,NEW HAMPSHIRE,New Hampshire,NH
34,NEW JERSEY,New Jersey,NJ
35,NEW MEXICO,New Mexico,NM
32,NEVADA,Nevada,NV
36,NEW YORK,New York,NY
39,OHIO,Ohio,OH
40,OKLAHOMA,Oklahoma,OK
41,OREGON,Oregon,OR
42,PENNSYLVANIA,Pennsylvania,PA
72,PUERTO RICO,Puerto Rico,PR
44,RHODE ISLAND,Rhode Island,RI
45,SOUTH CAROLINA,South Carolina,SC
46,SOUTH DAKOTA,South Dakota,SD
47,TENNESSEE,Tennessee,TN
48,TEXAS,Texas,TX
49,UTAH,Utah,UT
51,VIRGINIA,Virginia,VA
78,VIRGIN ISLANDS,Virgin Islands,VI
50,VERMONT,Vermont,VT
53,WASHINGTON,Washington,WA
55,WISCONSIN,Wisconsin,WI
54,WEST VIRGINIA,West Virginia,WV
56,WYOMING,Wyoming,WY
zz,zzTEST,zzTest,ZZ
