"State Name","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2000-2015"
"Virginia","0","0","0","0","0","0","0","0","0","0","1194556495.66","0","0","1194556495.66"
"District of Columbia","0","0","0","0","0","0","0","0","0","0","1011118535.43","0","0","1011118535.43"
"Alabama","0","0","0","0","0","0","0","0","0","0","133075606.03","0","0","133075606.03"
"California","0","0","0","0","0","0","0","0","0","0","104214772.03","0","0","104214772.03"
"Maryland","0","0","0","0","0","0","0","0","0","0","83562976.37","0","0","83562976.37"
"South Carolina","0","0","0","0","0","0","0","0","0","0","74243672.57","0","0","74243672.57"
"New York","0","0","0","0","0","0","0","0","0","0","73589231.53","0","0","73589231.53"
"Illinois","0","0","0","0","0","0","0","0","0","0","61579861.24","0","0","61579861.24"
"North Carolina","0","0","0","0","0","0","0","0","0","0","50408983.08","0","0","50408983.08"
"New Hampshire","0","0","0","0","0","0","0","0","0","0","49167167.33","0","0","49167167.33"
"Texas","0","0","0","0","0","0","0","0","0","0","37125432.29","0","0","37125432.29"
"Michigan","0","0","0","0","0","0","0","0","0","0","33361524.33","0","0","33361524.33"
"Alaska","0","0","0","0","0","0","0","0","0","0","25677691.63","0","0","25677691.63"
"Florida","0","0","0","0","0","0","0","0","0","0","24905327.82","0","0","24905327.82"
"Tennessee","0","0","0","0","0","0","0","0","0","0","21478824.42","0","0","21478824.42"
"Oregon","0","0","0","0","0","0","0","0","0","0","17239890.16","0","0","17239890.16"
"Arkansas","0","0","0","0","0","0","0","0","0","0","16187471.93","0","0","16187471.93"
"Pennsylvania","0","0","0","0","0","0","0","0","0","0","15039856.79","0","0","15039856.79"
"Colorado","0","0","0","0","0","0","0","0","0","0","11682807.6","0","0","11682807.6"
"Washington","0","0","0","0","0","0","0","0","0","0","11400424.78","0","0","11400424.78"
"Arizona","0","0","0","0","0","0","0","0","0","0","9926262.09","0","0","9926262.09"
"Minnesota","0","0","0","0","0","0","0","0","0","0","9708018.91","0","0","9708018.91"
"New Mexico","0","0","0","0","0","0","0","0","0","0","9684383.19","0","0","9684383.19"
"West Virginia","0","0","0","0","0","0","0","0","0","0","9121269.99","0","0","9121269.99"
"Massachusetts","0","0","0","0","0","0","0","0","0","0","8810126.71","0","0","8810126.71"
"Georgia","0","0","0","0","0","0","0","0","0","0","8379465.55","0","0","8379465.55"
"Missouri","0","0","0","0","0","0","0","0","0","0","7641403.33","0","0","7641403.33"
"Ohio","0","0","0","0","0","0","0","0","0","0","5912353.93","0","0","5912353.93"
"New Jersey","0","0","0","0","0","0","0","0","0","0","4217249.12","0","0","4217249.12"
"Indiana","0","0","0","0","0","0","0","0","0","0","3512920.41","0","0","3512920.41"
"Oklahoma","0","0","0","0","0","0","0","0","0","0","3228166.06","0","0","3228166.06"
"Wisconsin","0","0","0","0","0","0","0","0","0","0","3143195.15","0","0","3143195.15"
"Kentucky","0","0","0","0","0","0","0","0","0","0","1738998.92","0","0","1738998.92"
"Connecticut","0","0","0","0","0","0","0","0","0","0","1501300.12","0","0","1501300.12"
"Vermont","0","0","0","0","0","0","0","0","0","0","567459.26","0","0","567459.26"
"Nebraska","0","0","0","0","0","0","0","0","0","0","444629.14","0","0","444629.14"
"Iowa","0","0","0","0","0","0","0","0","0","0","316132.29","0","0","316132.29"
"Idaho","0","0","0","0","0","0","0","0","0","0","313803.58","0","0","313803.58"
"Utah","0","0","0","0","0","0","0","0","0","0","288297.34","0","0","288297.34"
"Kansas","0","0","0","0","0","0","0","0","0","0","287334.7","0","0","287334.7"
"Mississippi","0","0","0","0","0","0","0","0","0","0","264216.52","0","0","264216.52"
"Hawaii","0","0","0","0","0","0","0","0","0","0","123053.62","0","0","123053.62"
"South Dakota","0","0","0","0","0","0","0","0","0","0","78636.66","0","0","78636.66"
"Rhode Island","0","0","0","0","0","0","0","0","0","0","68843.65","0","0","68843.65"
"Montana","0","0","0","0","0","0","0","0","0","0","55385.38","0","0","55385.38"
"Nevada","0","0","0","0","0","0","0","0","0","0","40037.27","0","0","40037.27"
"Maine","0","0","0","0","0","0","0","0","0","0","25827.1","0","0","25827.1"
"Wyoming","0","0","0","0","0","0","0","0","0","0","8950.71","0","0","8950.71"
"Puerto Rico","0","0","0","0","0","0","0","0","0","0","3681.2","0","0","3681.2"
"Delaware","0","0","0","0","0","0","0","0","0","0","3571.98","0","0","3571.98"
"North Dakota","0","0","0","0","0","0","0","0","0","0","300.95","0","0","300.95"
"Louisiana","0","0","0","0","0","0","0","0","0","0","-22227.64","0","0","-22227.64"
