State,Year,Invested,Jobs
AL,2013,130700000.00,566
AZ,2013,33500000.00,105
CA,2013,158000000.00,777
FL,2013,77000000.00,315
GA,2013,140500000.00,768
HI,2013,85700000.00,504
IL,2013,58100000.00,338
IN,2013,55400000.00,180
KY,2013,17600000.00,176
LA,2013,9300000.00,65
MA,2013,88900000.00,109
MD,2013,30000000.00,100
ME,2013,7000000.00,30
MI,2013,2000000.00,15
MS,2013,115000000.00,134
NC,2013,210900000.00,1455
NE,2013,35000000.00,111
NH,2013,10200000.00,40
NY,2013,312000000.00,1128
SC,2013,120900000.00,322
TN,2013,105600000.00,400
TX,2013,95000000.00,375
UT,2013,19600000.00,129
WI,2013,4400000.00,23
