Antigua,1,0,PetroCaribe,-0.172,0.95,1,0.9,0.016,-0.121,0.95,discussions,0.02,1.2,1.2,0.013,0,0.001,0.028,0.09,0.001,,100,0.09,22,0.22,,,,,,,33,,,38,5,,,,,,2,0.610929853,0.4,1.010929853,B2
Argentina,0,0,Integral,0.026,0.87,181.4,158,,-0.008,0.48,,,484.6,231.6,,,,,,,,8927,0.04,574,0.06,,67,10,197,13,9,420,3181,663,1741,703,,,792,17,467,72,0,0,0,C3
Belize,1,0,PetroCaribe,-0.135,0.96,1.1,1.1,0.025,-0.019,0.75,no,0.013,1.6,1.2,0.013,0.001,0.001,0.04,0.04,0,,0,0,0,1,,,,,,,,,,,,,,,,,,0.442903752,0.571428571,1.014332323,B2
Bolivia,0,0,Caracas,0.059,0.8,9.5,7.6,,0.042,0.31,,,29.8,9.2,,,,,,,,85,0.01,,,,,,,,,5,55,9,,,,,16,,,,0,0,0,C3
Cuba,0,0,Integral,,,,,,,,,,,,,,,,,,,45471,,36,0,10,660,400,244,621,39,5405,103,639,965,137,,32402,3089,275,130,318,0,0,0,C3
Dominican Republic,1,0,PetroCaribe,-0.016,0.23,33.5,7.8,0.02,-0.048,0.36,no,0.045,59.3,21.2,0.23,0.003,0.012,0.014,0.05,0.009,,833,0.04,220,0.26,,,1,56,,,261,38,0,104,,,,154,,,,0.124796085,0.2,0.324796085,C3
Dominica,1,0,PetroCaribe,-0.214,0.84,0.4,0.3,0.011,-0.107,0.77,no,,0.5,0.4,0.004,0,0,0.014,0.07,0,,31,0.08,,,,,,,,,20,,,,,,,,,,11,0.461663948,0.2,0.661663948,B3
Ecuador,0,0,Caracas,0.011,0.35,41.5,14.5,,-0.011,0.23,,,91.4,20.6,,,,,,,,827,0.04,45,0.05,,,11,18,,,35,35,208,179,,,,185,,,51,0,0.714285714,0.714285714,C3
El Salvador,1,0,PetroCaribe,-0.036,0.39,17.1,6.6,0.016,-0.052,0.55,no,0.019,24.7,13.5,0.147,0.001,0.003,0.006,0.02,0.006,,547,0.04,90,0.16,,,1,,,,0,131,,268,,,,57,,,,0.278955954,0.085714286,0.36467024,C3
Grenada,1,0,PetroCaribe,-0.246,0.88,0.7,0.6,0.008,-0.254,1.16,discussions,0.016,0.8,0.9,0.01,0.001,0.001,0.05,0.11,0,,11,0.01,3,0.28,,,,,,,5,,,,,,0,,,,3,0.778140294,0.714285714,1.492426008,A1
